acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alsa-lib 1.2.5.1-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
aom 3.1.2-1
apr 1.7.0-3
apr-util 1.6.1-8
arandr 0.1.10-6
archlinux-keyring 20210820-1
arduino 1:1.8.15-1
arduino-avr-core 1.8.3-1
arduino-builder 1.6.1-1
arduino-cli 0.18.3-1
arduino-ctags 5.8_arduino11-4
arduino-docs 1.6.6-7
argon2 20190702-3
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
attr 2.5.1-1
audit 3.0.4-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+20+gd1e71b3-1
avr-binutils 2.37-1
avr-gcc 11.2.0-1
avr-libc 2.0.0-4
avrdude 1:6.3-7
base 2-2
bash 5.1.008-1
binutils 2.36.1-3
bison 3.7.6-1
blas 3.10.0-1
blosc 1.21.0-1
blueman 2.2.2-1
bluez 5.60-1
bluez-libs 5.60-1
bluez-utils 5.60-1
brotli 1.0.9-4
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.69-1
ca-certificates-utils 20210603-1
cairo 1.17.4-5
cantarell-fonts 1:0.301-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chromium 92.0.4515.159-1
confuse 3.3-3
coreutils 8.32-1
create_ap-git r265.462c09f-1
cryptsetup 2.4.0-1
curl 7.78.0-1
dav1d 0.9.1-1
db 5.3.28-5
dbus 1.12.20-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
diffutils 3.8-1
dnsmasq 2.85-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
elfutils 0.185-1
expat 2.4.1-1
fakeroot 1.25.3-2
ffmpeg 2:4.4-4
file 5.40-5
filesystem 2021.05.31-1
findutils 4.8.0-1
flac 1.3.3-3
flex 2.6.4-3
fltk 1.3.7-1
fontconfig 2:2.13.94-1
freetype2 2.10.4-1
fribidi 1.0.10-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gd 2.3.2-4
gdbm 1.20-1
gdk-pixbuf2 2.42.6-2
gettext 0.21-1
ghostscript 9.54.0-2
giflib 5.2.1-2
git 2.33.0-1
glew 2.2.0-2
glib-networking 1:2.68.1-1
glib2 2.68.4-1
glibc 2.33-5
glu 9.0.2-1
gmp 6.2.1-1
gnupg 2.2.29-1
gnutls 3.7.2-2
gobject-introspection-runtime 1.68.0-1
gpgme 1.16.0-1
gpicview 0.2.5-6
gpm 1.20.7.r38.ge82d1a6-3
graphene 1.10.6-1
graphite 1:1.3.14-1
grep 3.6-1
groff 1.22.4-6
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsl 2.7-1
gsm 1.0.19-1
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gstreamer 1.18.4-1
gtk-update-icon-cache 1:4.4.0-1
gtk2 2.24.33-2
gtk3 1:3.24.30-2
guile 2.2.7-1
gumbo-parser 0.10.1-2
guvcview 2.0.6-5
guvcview-common 2.0.6-5
gzip 1.10-3
harfbuzz 2.9.0-1
hdf5 1.12.0-2
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
hostapd 2.9-5
htop 3.0.5-1
hwids 20210613-1
iana-etc 20210728-1
icdiff 2.0.0-1
icu 69.1-1
ijs 0.35-3
imagemagick 7.1.0.4-2
imagemagick-doc 7.1.0.4-2
imath 3.1.2-1
imlib2 1.7.3-1
intel-ucode 20210608-1
iotop 0.6-8
iproute2 5.13.0-1
iptables 1:1.8.7-1
iputils 20210722-1
ipython 7.26.0-1
iso-codes 4.6.0-1
iw 5.9-1
jack2 1.9.19-2
jansson 2.13.1-1
jasper 2.0.33-1
java-runtime-common 3-3
jbig2dec 0.19-1
jre8-openjdk 8.u292-1
jre8-openjdk-headless 8.u292-1
js78 78.13.0-1
json-c 0.15-1
json-glib 1.6.6-1
jupyter 4.6.3-2
jupyter-nbclient 0.5.3-1
jupyter-nbconvert 6.1.0-1
jupyter-nbformat 5.1.3-1
jupyter-notebook 6.3.0-1
jupyter-widgetsnbextension 1:3.5.1-3
jupyter_console 6.4.0-1
jupyterlab_pygments 0.1.2-2
kbd 2.4.0-2
keyutils 1.6.3-1
kmod 29-1
krb5 1.19.1-1
l-smash 2.14.5-2
lame 3.100-3
lapack 3.10.0-1
lcms2 2.12-1
ldns 1.7.1-2
less 1:590-1
libaec 1.0.5-1
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.2-1
